47571,21070,9804
26014,44873,23440
21436,20018,6336
86942,19462,93901
49070,89301,48095
35616,79795,87684
46059,52360,21723
815,59491,16082
36997,51041,15723
48823,39495,7825
51753,4208,6052
54168,42076,29285
20754,25389,97173
59500,82003,9597
50009,95623,78606
16875,26902,85926
94936,11855,20459
29649,39961,5964
75013,82858,46898
41418,34129,78316
53899,91211,30110
23881,28275,96163
57427,65737,22498
61932,26265,53341
66932,22206,44871
21918,87742,17383
6367,78929,46730
45731,28754,95626
99274,72570,7847
30049,55955,65389
29114,49335,69452
93501,53260,46406
90751,50824,44853
17876,94582,42247
76370,58963,43822
7098,80312,49281
84161,27963,78109
26305,54455,7015
20715,36202,93555
53829,86237,93455
82380,63810,94552
89368,99839,21849
87497,47331,94985
15162,51381,770
95313,7542,11728
53233,25116,16166
39381,93503,98765
44807,73664,70213
64971,93696,88679
57739,609,67547
20052,59602,10551
97480,93610,27749
64800,39151,87207
20649,60628,94244
39906,63714,7798
63509,47318,9956
4450,90472,41313
63768,62774,11958
10544,27294,3096
36575,34168,46729
15982,19416,54354
79358,80933,60698
28189,14011,71324
99923,71592,65177
95588,3920,27088
20412,59125,6914
64359,62132,47563
80252,13527,57773
55512,16749,62123
29926,23937,64662
39571,82975,19998
45426,9316,91331
44477,20201,75955
2271,90540,17806
50227,93207,93092
11411,51340,57663
97754,96323,37130
98986,72665,15300
56185,47869,72908
41878,1363,14758
17185,33485,94935
56299,27990,23411
56452,5027,31447
29500,44948,51617
80321,14706,47434
11412,5698,63814
20894,72581,79096
16983,21117,47752
70243,75746,49340
8209,66696,24132
68345,8500,13353
66274,29803,36754
73740,3744,81183
93764,84714,68608
95758,92527,3581
1595,75495,24023
46264,54482,91932
88312,9307,89820
52494,90230,12337
13233,52655,32914
4316,69743,11655
60985,41967,58045
148,48360,76118
9168,81733,47376
7509,59153,81292
9286,92278,40935
6689,8277,65867
77303,26813,98281
97274,74605,8928
64111,1255,72466
47709,95260,99519
76389,53573,75496
91718,92565,80380
96354,38927,53770
54341,34652,75607
4883,54110,88424
7132,40749,94152
12116,58680,18862
82365,88948,64824
17238,81714,99059
7750,63178,72867
97873,63681,11835
29111,86352,22560
22221,10434,97955
33953,31092,14817
25563,63991,7561
91343,83184,43020
30333,91579,24170
43793,38500,78262
91079,65108,91185
9241,37569,48652
32460,746,63944
27812,99211,48865
33771,79759,60765
47927,66642,17212
21386,6415,23249
37948,8261,87194
43984,30104,67605
21734,65992,73999
86262,95474,9534
59214,83053,21772
90581,53940,87498
8241,19458,85268
58944,35703,85983
59911,38963,75410
99952,28406,68011
44037,55766,58629
4033,63003,64904
80639,28101,43807
56561,21523,8735
54799,81572,967
72303,47576,77866
73283,18699,89146
16438,5180,57306
85275,58630,78887
73122,12677,20791
23579,72966,44771
77605,53061,89981
44904,96197,31499
25606,69589,99058
90709,92773,25475
13674,79937,55109
30367,3176,72024
73198,59340,47212
66561,11630,359
81408,91758,96519
84170,22261,90978
61563,94745,30976
98606,76722,59057
72801,32395,14427
78479,39897,7663
97123,13861,46867
72658,62349,8080
14154,66620,28768
4557,99680,63147
2146,49024,61993
14654,3716,91456
66004,116,66251
2322,16850,71882
33229,94451,8875
29805,23309,81315
50029,36838,21929
82209,590,52032
21747,2975,97024
49535,18114,20733
3618,28912,40469
96636,97224,98582
57756,40775,84060
34034,79567,87609
25778,12133,5076
83296,8348,96603
70987,83036,78511
74585,66133,47503
45046,4953,14146
73068,56031,53588
53556,96933,17970
34304,44725,61677
81552,5207,10274
75676,34240,54779
26235,58317,78470
49044,58067,48983
41488,57392,13388
94175,28337,69652
22770,10382,52096
8129,73930,74894
27652,5751,2110
90856,9187,3182
71313,45401,62757
34566,84469,64732
59016,52067,4406
21917,26138,45029
97263,71628,37478
59537,72454,41174
4539,20633,62147
64138,74645,12101
83582,87586,79578
20401,60949,46910
70557,448,53317
85318,94930,54753
70992,94321,97929
25168,46035,84153
60606,1952,11388
21193,43019,39906
96635,25530,84545
374,52915,33797
4568,83473,12379
48299,44457,82027
83266,6879,32563
40391,95543,82502
38721,83550,86705
16498,3509,47973
46405,83872,84187
82310,92631,8186
96936,37313,2996
81772,60821,57329
71034,95270,59124
55347,49238,48950
38397,67390,4520
63155,14251,65728
76221,52730,58846
72010,46346,1935
10706,67290,12780
14173,89327,94873
81847,1935,70812
662,50973,84260
5755,43879,46625
24597,45916,35947
79693,44291,14249
57132,19072,4563
65615,47356,5321
51448,68876,39994
97074,47951,9852
84316,82211,79901
98008,94765,89135
66447,25627,42794
97780,52819,8822
21586,98713,27242
56338,25461,57018
21307,99640,86841
57220,4743,51006
54794,89524,22565
73269,13665,65911
91607,73120,69334
58479,41460,10925
48014,39814,63837
34417,90040,85444
7194,36015,93413
7868,97501,37561
91080,17487,79945
69784,87574,12615
3132,23539,47343
53840,21079,56691
14928,70069,77892
84516,59600,18173
94950,16419,10539
95786,75343,20956
77478,9485,20339
61532,12904,76720
57961,93013,50244
89776,75175,5051
65822,70073,28510
40531,35936,69847
59523,70583,52831
40175,32972,23371
90438,35912,38646
9190,71603,2301
89914,64437,39884
19231,20532,21738
20291,28387,29046
61401,12081,48512
70367,83299,72938
83775,15129,69950
65702,40589,28248
67004,66912,6380
92528,51355,9539
78714,75787,68757
11715,10091,10377
20186,48397,99790
92315,41383,55587
92772,78647,24218
27061,61947,52007
56991,14015,55863
61421,37878,69228
92103,39528,29743
72506,97359,35180
53018,24457,19496
3710,47703,24976
22916,27182,6379
42884,85646,26272
82100,98605,30769
1821,91791,94846
83792,55739,65047
46214,65415,81282
66988,40521,21596
45494,52681,57995
2212,70960,79823
33321,19720,39301
19669,55897,20490
9730,6780,10006
55897,67619,63154
85947,46340,80569
17833,80348,39175
53730,29488,16550
97827,97934,56043
79680,52251,79901
15440,84026,45232
34900,47716,88735
31175,30778,37122
653,6797,65269
39498,56985,61145
13639,4464,54937
36506,73704,92509
87986,54749,53371
86831,89128,24572
30369,50407,58265
44688,73717,6276
34669,23598,35669
38200,44889,66909
5804,48890,22794
33804,15381,41749
31083,32018,9933
41887,64511,29207
86779,64028,44144
82940,57300,4258
11837,83350,22362
53566,55374,15050
94542,42256,70529
57924,9304,52928
37874,91291,5924
27458,33422,50557
40032,20648,34773
19329,95504,64776
43060,59066,72108
38735,37842,70331
34756,30542,72483
8645,64076,29678
14422,9744,59856
36690,33825,5724
28010,71813,49198
79220,57332,56033
85797,27675,39216
20001,86620,15888
46676,25791,13225
31040,8856,9734
69598,20191,54257
31748,94398,62648
56233,47124,70615
86810,74097,63829
55402,87748,14049
64651,2504,94470
27971,25371,34425
7225,62165,53127
77869,9942,69819
72986,43646,21958
13212,64016,58505
99141,27615,61691
21479,16593,66867
13086,99145,53945
